city_name,indicator_value,edgenum
萍乡,9,3
广州,11,2
阳江,11,1
巴中,11,1
南充,11,1
泸州,11,1
自贡,11,1
赣州,11,1
宜春,11,1
衢州,11,1
上饶,11,1
文山壮族苗族自治州,11,1
百色,11,1
东莞,11,1
河源,11,1
宣城,11,1
南京,11,1
大理白族自治州,11,1
临沧,11,1
株洲,11,1
滁州,11,1
扬州,11,1
长沙,11,1
阜阳,11,1
六安,11,1
