city_name,indicator_value,edgenum
天津,24,4
济宁,25,2
衡阳,25,2
菏泽,25,1
濮阳,26,1
聊城,26,1
枣庄,26,1
呼和浩特,27,1
包头,27,1
沧州,27,1
廊坊,27,1
唐山,27,1
株洲,27,1
重庆,27,1
恩施土家族苗族自治州,27,1
烟台,27,1
威海,27,1
北京,27,1
郴州,27,1
淄博,26,1
潍坊,26,1
