city_name,indicator_value,edgenum
广州,15,5
南通,15,2
南充,15,2
南京,15,2
沈阳,15,2
衡水,15,2
绵阳,15,2
南宁,15,2
枣庄,15,2
广安,15,2
河源,15,2
东莞,15,2
茂名,15,2
长沙,14,2
海西蒙古族藏族自治州,15,1
西宁,15,1
郑州,15,1
漯河,15,1
张家口,15,1
北京,15,1
无锡,15,1
重庆,15,1
盐城,15,1
泉州,15,1
三明,15,1
天水,15,1
陇南,15,1
营口,15,1
保定,15,1
龙岩,15,1
漳州,15,1
德州,15,1
滨州,15,1
鄂尔多斯,15,1
巴彦淖尔,15,1
安庆,15,1
池州,15,1
邢台,15,1
防城港,15,1
宿州,15,1
合肥,15,1
镇江,15,1
扬州,15,1
济宁,15,1
汕头,15,1
成都,15,1
遂宁,15,1
梅州,15,1
汕尾,15,1
阳江,15,1
达州,15,1
阜新,15,1
徐州,15,1
百色,15,1
河池,15,1
永州,15,1
北海,15,1
佛山,15,1
怀化,15,1
潍坊,14,1
烟台,14,1
南昌,13,1
吉安,13,1
